Date,Canal,Category,SubCategory1,SubCategory2,Subcategory3,Marca,Modelo,SKU,UPC,Item,ItemCharacteristics,URLSKU,Image,Price,SalePrice,Shipment Cost,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,FinalPrice,Brand
,,Limpieza,Hogar,Jarciería,,,,726866011010,,FREGON FIBRA ESPONJA DE LUJO,,,https://farmaciatepa.com.mx/FT/img/products/726866011010_01.webp,12.67,14.7,,,,,,18,,,FREGON
,,Limpieza,Hogar,Jarciería,,,,726866050415,,FREGON FIBRA ESPONJA GRNDE/25,,,https://farmaciatepa.com.mx/FT/img/products/726866050415_01.webp,9.05,10.5,,,,,,8,,,FREGON
,,Limpieza,Hogar,Jarciería,,,,726866016039,,FREGON FIBRAS METALICAS C3 PIEZAS,,,https://farmaciatepa.com.mx/FT/img/products/726866016039_01.webp,22.24,25.8,,,,,,0,,,FREGON
,,Limpieza,Hogar,Insecticidas y Trampas,,,,7501021116570,,Insecticida en Aerosol H24 Poder Total Mata Insectos Rastreros 277 ml,,,https://farmaciatepa.com.mx/FT/img/products/7501021116570_01.webp,49.91,57.9,,,,,,23,,,H24
,,Limpieza,Hogar,Insecticidas y Trampas,,,,7501032920425,,Insecticida en Aerosol Mata Cucarachas Raid Max 285ml,,,https://farmaciatepa.com.mx/FT/img/products/7501032920425_01.webp,58.19,67.5,,,,,,19,,,RAID
,,Limpieza,Hogar,Insecticidas y Trampas,,,,7501032920401,,Insecticida en Aerosol Raid Casa y Jardín 285 ml,,,https://farmaciatepa.com.mx/FT/img/products/7501032920401_01.webp,55.78,64.7,,,,,,13,,,RAID
,,Limpieza,Hogar,Insecticidas y Trampas,,,,7501032923822,,Insecticida en Aerosol Raid Mata Moscas y Mosquitos 400ml,,,https://farmaciatepa.com.mx/FT/img/products/7501032923822_01.webp,71.98,83.5,,,,,,21,,,RAID
,,Limpieza,Hogar,Insecticidas y Trampas,,,,7501032929763,,Insecticida en Láminas Baygon 16 Plaquitas,,,https://farmaciatepa.com.mx/FT/img/products/7501032929763_01.webp,23.34,28.7,,,,,,24,,,BAYGON
,,Limpieza,Hogar,Jarciería,,,,7502211835493,,Microfibra Mr Fine 1pza.,,,https://farmaciatepa.com.mx/FT/img/products/7502211835493_01.webp,14.48,16.8,,,,,,7,,,MR. FINE
,,Limpieza,Hogar,Insecticidas y Trampas,,,,7503004462018,,Plasti Cucarachicida Cannibal.,,,,45.69,53,,,,,,27,,,CANNIBAL
,,Limpieza,Hogar,Jarciería,,,,726866050637,,SOMAKI  FIBRA VERDE LOTUS FREGON 16.5 *9CM C/25,,,https://farmaciatepa.com.mx/FT/img/products/726866050637_01.webp,7.84,9.09,,,,,,0,,,
,,Limpieza,Hogar,Cuidado del Calzado,,,,7503017461312,,T-Bolea Tinta Fuerte para Calzado 250 ml,,,https://farmaciatepa.com.mx/FT/img/products/7503017461312_01.webp,20,23.2,,,,,,4,,,T BOLEA
,,Limpieza,Hogar,Aromatizantes,,,,7501821501637,,Wiese Active Gel Aromatizante Cítrico 70 gr,,,https://farmaciatepa.com.mx/FT/img/products/7501821501637_01.webp,12.93,15,,,,,,24,,,WIESE
,,Limpieza,Hogar,Aromatizantes,,,,7501821501651,,Wiese Active Gel Aromatizante Floral70 gr,,,https://farmaciatepa.com.mx/FT/img/products/7501821501651_01.webp,12.93,15,,,,,,24,,,WIESE
,,Limpieza,Hogar,Aromatizantes,,,,7501821501668,,Wiese Active Gel Aromatizante Lavanda 70 gr,,,https://farmaciatepa.com.mx/FT/img/products/7501821501668_01.webp,12.93,15,,,,,,21,,,WIESE
,,Limpieza,Hogar,Aromatizantes,,,,7501821501729,,Wiese Active Gel Auto Nuevo 70 gr,,,https://farmaciatepa.com.mx/FT/img/products/7501821501729_01.webp,15,17.4,,,,,,14,,,WIESE
,,Limpieza,Hogar,Aromatizantes,,,,7501821511377,,Wiese Desinfectante Aerosol Fres line 226 gr,,,,36.47,42.31,,,,,,0,,,WIESE
,,Limpieza,Hogar,Aromatizantes,,,,7501821570152,,Wiese Pastilla Azul Pino 48 gr,,,https://farmaciatepa.com.mx/FT/img/products/7501821570152_01.webp,17.16,19.91,,,,,,1,,,WIESE
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410557,,Big Facil Quality 600 H,,,https://farmaciatepa.com.mx/FT/img/products/7501050410557_01.webp,44.4,51.5,,,,,,112,,,BIG QUALITY
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,099072000858,,BIG ROLL HIGIENICO C/4,,,,24.22,28.1,,,,,,164,,,BIG
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,078742107509,,MEMBERS MARK HIGIENICO 400HD  PAQ.32 ROLLOS  C/ 1,,,,301.47,349.71,,,,,,11,,,MEMBERS MARK
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501943476028,,Pañuelos Desechables Kleenex 3 Hojas Manzanilla 100pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501943476028_01.webp,42.24,49,,,,,,26,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501017364510,,Pañuelos Desechables Kleenex 3 Hojas Neutro 100pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501017364510_01.webp,41.29,47.9,,,,,,48,,,KLEENEX
