category,name,original_price,discounted_price,PUM,url
Belleza y Vitalidad,Atopeel Balsamo Lip Protec Menta HEE,$ 28.050,,"$7.012,50",https://www.drogueriascolsubsidio.com/atopeel-balsamo-lip-protec-menta-hee-7707336724749/p
Belleza y Vitalidad,Asepxia Maquillaje Polvo Beige 10 G,$ 40.000,,"$4.000,00",https://www.drogueriascolsubsidio.com/asepxia-maquillaje-polvo-beige-10-g-650240051609/p
Belleza y Vitalidad,Atopeel Balsamo Lip Protec Vainilla HEE,$ 28.050,,"$7.012,50",https://www.drogueriascolsubsidio.com/atopeel-balsamo-lip-protec-vainilla-hee-7707336728426/p
Mamás y bebés,Pañal Winny Pants Etapa 4,$ 47.150,,"$1.571,67",https://www.drogueriascolsubsidio.com/panal-winny-pants-etapa-4-7701021116635/p
Mamás y bebés,Dove Baby Jabón Líquido H Enr 400ml,$ 37.850,,"$94,63",https://www.drogueriascolsubsidio.com/dove-baby-jabon-liquido-h-enr-400ml-7891150036369/p
Mamás y bebés,Pañitos Húmedos Pequeñín Almendra (3x100un),$ 40.500,,"$135,00",https://www.drogueriascolsubsidio.com/panitos-humedos-pequenin-almendra-3x100un-7702026148683/p
Mamás y bebés,Fórmula Infantil Similac Total Comfort Prosensitive Etapa 1,$ 82.850,,"$230,14",https://www.drogueriascolsubsidio.com/formula-infantil-similac-total-comfort-prosensitive-etapa-1-8427030006307/p
Mamás y bebés,Alimento Lacteo Klim 1+,$ 53.350,,"$53,35",https://www.drogueriascolsubsidio.com/alimento-lacteo-klim-1-7702024047612/p
Mamás y bebés,Crema N.4 Original,$ 10.550,,"$527,50",https://www.drogueriascolsubsidio.com/crema-antip-n4-10-pote-x20-7702057088835/p
Mamás y bebés,Pañal Winny Sensitive Gold Etapa 1 Bolsax30+ Toallitas X20 Recien Nacido,$ 32.250,,"$1.075,00",https://www.drogueriascolsubsidio.com/panal-winny-sensitive-gold-etapa-1-bolsax30-toallitas-x20-recien-nacido-7701021118011/p
Mamás y bebés,Shampo Bebé Johnson's Manzanilla 750 ml,$ 43.250,,"$57,67",https://www.drogueriascolsubsidio.com/shampo-bebe-johnsons-manzanilla-750-ml-7702031293255/p
Mamás y bebés,Toallitas Húmedas Winny Recien Nacido,$ 13.150,,"$164,38",https://www.drogueriascolsubsidio.com/toallitas-humedas-winny-recien-nacido-7701021142665/p
Mamás y bebés,Oferta Pañitos Húmedos Aloe Natural Super Oferta,$ 12.500,,"$125,00",https://www.drogueriascolsubsidio.com/oferta-panitos-humedos-aloe-natural-super-oferta-7702026313814/p
