brand,category,discounted_price,image_url,invima,list_price,name,presentacion,product_id,pum,sku,stock,subcat1,subcat2,subcat3,subcat4,url
LAFRANCOL,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/186423/7702870070772.jpg?v=638143390860100000,2023M-0008096-R2,103950,Gynflu D 75 mg / 1000 mg Tableta,CAJA X 4 TAB,2131,"Tableta a $25.987,50",2131,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/gynflu-d-75-mg--1000-mg-tableta-7702870070772/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203116/_0014_1212204_MELATONINA X120_751273778140.jpg.jpg?v=638750626214400000,2015M-0016375,48300,Melatonina 3 Mg Cápsula Blanda,FRASCO X 120 CAP,255,"Capsula a $402,50",255,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/melatonina-3-mg-capsula-blanda-751273778140/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/204875/DESLORATADINA 5MG CJX10TAB REC EAN 7702605107063.png.png?v=638799108269100000,2020M-0007990-R1,33950,Desloratadina 5 Mg Tableta Recubierta Genfar,CAJA X 10 TAB,1935,"Tableta a $3.395,00",1931,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/desloratadina-5-mg-tableta-recubierta-genfar-7702605107063/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/204945/QUETIAPINA 25MG CJX30TAB EAN 7705959881016.png.png?v=638799805267130000,2021M-0011105-R2,15400,Quetiapina 25mg Tableta Recubierta Genfar,CAJA X 30 TAB,7031,"Tableta a $513,33",7032,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/quetiapina-25mg-tableta-recubierta-genfar-7705959881016/p
PROCAPS,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/185331/7703153003586.jpg?v=638047288217100000,SD2021-0001402-R1,5250,Polivitaminas y Minerales Cápsula Procaps,BLISTER X 10 CAP,5563,"Capsula a $525,00",5546,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/polivitaminas-y-minerales-capsula-procaps-7703153003586/p
LAFRANCOL,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/157816/7702870071205.jpg?v=637108452985730000,2022M-0012966-R2,108250,Dienomet 2 mg Tableta,CAJA X 28 TAB,2146,"Tableta a $3.866,07",2146,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/dienomet-2-mg-tableta-7702870071205/p
NOVAMED,Medicamentos,2958,https://colsubsidio.vtexassets.com/arquivos/ids/161744/7703546076036.jpg?v=637121053621400000,2009M-0010259,3697,Flumixol 600 Mg Granulado,BLISTER X 1 UN,5999,"Unidad a $3.696,67",5999,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/flumixol-600-mg-granulado-7703546076036/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/204960/SILDENAFILO 50MG CJX2TAB EAN 7702605103133.png.png?v=638799823060300000,2023M-0008869-R2,7800,Sildenafil 50 Mg Tableta Recubierta Genfar,CAJA X 2 TAB,1896,"Tableta a $3.900,00",1892,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/sildenafil-50-mg-tableta-recubierta-genfar-7702605103133/p
FAES FARMA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/175273/8436024613995.jpg?v=637638481663630000,2020M-0019583,142000,Hidroferol 0.266mg Cápsula Blanda,CAJA X 3 CAP,10563,"Capsula a $47.333,33",10565,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/hidroferol-0266mg-capsula-blanda-8436024613995/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/161096/CJ-7702605101498.jpg?v=637111987328570000,2020M-014958-R3,27050,CAJA - Ibuprofeno 400 mg Tableta Recubierta Genfar,CAJA X 100 TAB,5521,"Tableta a $270,50",5509,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/caja---ibuprofeno-400-mg-tableta-recubierta-genfar-cj-7702605101498-1/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/204942/PREGABALINA 75MG CJX30CAP EAN 7705959884185.png.png?v=638799801748630000,2014M-0015183,37850,Pregabalina 75 Mg Cápsula Dura Genfar,CAJA X 30 CAP,3365,"Capsula a $1.261,67",3363,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/pregabalina-75-mg-capsula-dura-genfar-7705959884185/p
