brand,category,discounted_price,image_url,invima,list_price,name,presentacion,product_id,pum,sku,stock,subcat1,subcat2,subcat3,subcat4,url
NOVAMED,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/158519/7703546013017.jpg?v=637108467156300000,2015M-0015659,15600.0,Beclazone 30 Mg Cápsula De Liberación Prolonga,CAJA X 10 COM,2898,"Comprimido a $1.560,00",2894,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/beclazone-30-mg-capsula-de-liberacion-prolonga-7703546013017/p
OCELESTE,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/190169/7709052630038.jpg?v=638274934222630000,NSOC84603-18CO,9550.0,Havva Essence Relax Inhalador Nasal,"TUBO X 1,25 ML",13282,"Mililitro a $7.640,00",13292,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/havva-essence-relax-inhalador-nasal-7709052630038/p
SCANDINAVIA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/201371/7803510773319.jpg?v=638666751503870000,PFM2024-0000251-R2,35500.0,Ciruelax Jalea,FRASCO X 150 G,4909,"Gramo a $236,67",4903,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/ciruelax-jalea-7803510773319/p
SUMMA DISTRIBUCIONES SAS,Medicamentos,38050.0,https://colsubsidio.vtexassets.com/arquivos/ids/207576/7708994009773--1-.jpg?v=638914886057800000,RSA-0017547-2022,76100.0,Citrato Potasio Fylmut Sabor Limon-Naranja Ava,FRASCO X 450 G,15846,"Gramo a $172,00",15864,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/citrato-potasio-fylmut-sabor-limon-naranja-ava-7708994009773/p
SCANDINAVIA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/201369/7803510300201.jpg?v=638666751497130000,PFM2024-0000251-R2,92100.0,Ciruelax Jalea,FRASCO X 600 G,4907,"Gramo a $153,50",4901,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/ciruelax-jalea-7803510300201/p
NOVAMED,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/175638/7703546123235.jpg?v=637659517094900000,PFM2020-0002726,31900.0,Expectos Hedera Helix 1% Jarabe Novamed,FRASCO X 120 ML,10166,"Mililitro a $265,83",10168,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/expectos-hedera-helix-1-jarabe-novamed-7703546123235/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203108/_0006_1259168_BIOTIN 900MCGX120_751273783434.jpg.jpg?v=638750623853800000,SD2015-0003559,48900.0,Biotin 900 Mcg Cápsula Blanda,FRASCO X 120 CAP,275,"Capsula a $407,50",275,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/751273783434healty-americanaturalesmedicamentosbiotin-900-mcg-capsula-blanda-751273783434/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205722/7707232092584-1.jpg.jpg?v=638830061788000000,NSOC76055-16CO,24750.0,Aceite Biopronnabis Canabis-Árnica,FRASCO X 240 ML,4170,"Mililitro a $103,13",4165,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/aceite-biopronnabis-canabis-arnica-7707232092584/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205635/7707232090238-1.jpg.jpg?v=638830037835370000,PFT2020-0002695,41050.0,Digestar Cápsula,FRASCO X 50 CAP,4134,"Capsula a $821,00",4129,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/digestar-capsula-7707232090238/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203111/_0009_1213256_MEGA CRAMBERRYX60_751273774869.jpg.jpg?v=638750625032530000,SD2013-0002992,74050.0,Mega Cranberry Cápsula Blanda,FRASCO X 60 CAP,252,"Capsula a $1.234,17",252,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/mega-cranberry-capsula-blanda-751273774869/p
FUNAT,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/175902/7706849118021.jpg?v=637667512902400000,PFT2021-000178-R2,58900.0,Oferta Antax Caléndula Suspensión + Frasco x 170ml Precio Especial,FRASCO X 360 ML,10679,"Mililitro a $111,13",10681,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/oferta-antax-calendula-suspension--frasco-x-170ml-precio-especial-7706849118021/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205820/7707232099354-1.jpg.jpg?v=638830098196900000,NSA-0013156-2022,29150.0,Mieltertos Jarabe Niños,FRASCO X 180 ML,4228,"Mililitro a $161,94",4223,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/mieltertos-jarabe-ninos-7707232099354/p
VITAMINA AG,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/171246/74312417801.jpg?v=637425360216800000,2015M-0012514-R1,106250.0,Vitamina E 1000 Iu Cápsula Blanda,FRASCO X 50 CAP,145,"Capsula a $2.125,00",145,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/vitamina-e-1000-iu-capsula-blanda-74312417801/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205770/7707232095615-1.jpg.jpg?v=638830082659230000,NSA-0013156-2022,29250.0,Mieltertos Propoleo,FRASCO X 350 G,4197,"Gramo a $83,57",4192,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/mieltertos-propoleo-7707232095615/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203136/1325577_VITAMINA-A-Y-D-PLUS-BILBE-FCOX100SOF-HA_751273772018.jpg.jpg?v=638750632979270000,SD2011-0002075,40150.0,Vitamina A Plus Bilberry Softgels,FRASCO X 100 CAP,251,"Capsula a $401,50",251,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/vitamina-a-plus-bilberry-softgels-751273772018/p
LABORATORIOS MEDICK SAS,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/183702/7703286112407.jpg?v=638015298916870000,SD2018-0000389-R1,16950.0,Levadura De Cerveza Tabletas Botanitas,FRASCO X 100 TAB,11450,"Tableta a $169,50",11456,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/levadura-de-cerveza-tabletas-botanitas-7703286112407/p
FUNAT,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/202945/esenciafloralechinacea25ml_7706849119233_1_1200x1200_HOGARYBIENESTAR_funat_col.jpg.jpg?v=638749917641300000,,18050.0,Esencia Floral Echinacea Solución Gotas,FRASCO X 25 ML,11458,"Mililitro a $722,00",11464,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/esencia-floral-echinacea-solucion-gotas-7706849119233/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205808/7707232097688-1.jpg.jpg?v=638830092499130000,PFM2012-0001977,44950.0,Hepatodren Cápsula,FRASCO X 50 CAP,4218,"Capsula a $899,00",4213,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/hepatodren-capsula-7707232097688/p
FUNDACION FARMACOLOGIA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/176573/7707176460296.jpg?v=637708596872100000,PFM2020-000002-R2.,23250.0,Crema De Calendunla,POTE X 60 G,3748,"Gramo a $387,50",3742,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/crema-de-calendunla-7707176460296/p
VITAMINA AG,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/171254/74312443602.jpg?v=637425363182870000,SD2018-0000809-R1,103250.0,Cranberry Fruit Plus Vitamin C Cápsula,FRASCO X 100 TAB,151,"Tableta a $1.032,50",151,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/cranberry-fruit-plus-vitamin-c-capsula-74312443602/p
